name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,KAT_efficiency,min_distance_to_false
RZE__to__KAT_cand_812,0.24,6,11.3,10.05,0.3,1.3900000000000006,1.0,True,1.0,0.36
RZE__to__KAT_cand_811,0.24,6,11.3,10.05,0.3,-0.7199999999999998,1.0,True,1.0,0.36
RZE__to__KAT_cand_649,0.24,6,11.3,1.6500000000000004,0.3,-0.7199999999999998,1.0,True,1.0,0.36
RZE__to__KAT_cand_704,0.24,6,11.3,3.75,0.3,1.3900000000000006,1.0,True,1.0,0.36
RZE__to__KAT_cand_702,0.24,6,11.3,3.75,0.3,-2.83,1.0,True,1.0,0.36
RZE__to__KAT_cand_721,0.24,6,11.3,4.800000000000001,0.3,-0.7199999999999998,1.0,True,1.0,0.36
RZE__to__KAT_cand_504,-0.12,6,11.3,10.05,0.3,-2.83,1.0,True,1.0,0.72
RZE__to__KAT_cand_382,-0.12,6,11.3,2.7000000000000006,0.3,3.500000000000001,1.0,True,1.0,0.72
RZE__to__KAT_cand_379,-0.12,6,11.3,2.7000000000000006,0.3,-0.7199999999999998,1.0,True,1.0,0.72
RZE__to__KAT_cand_418,-0.12,6,11.3,4.800000000000001,0.3,3.500000000000001,1.0,True,1.0,0.72
RZE__to__KAT_cand_487,-0.12,6,11.3,9.000000000000002,0.3,-0.7199999999999998,1.0,True,1.0,0.72
RZE__to__KAT_cand_541,-0.12,6,11.3,11.1,0.3,-0.7199999999999998,1.0,True,1.0,0.72
RZE__to__KAT_cand_490,-0.12,6,11.3,9.000000000000002,0.3,3.500000000000001,1.0,True,1.0,0.72
RZE__to__KAT_cand_505,-0.12,6,11.3,10.05,0.3,-0.7199999999999998,1.0,True,1.0,0.72
RZE__to__KAT_cand_400,-0.12,6,11.3,3.75,0.3,3.500000000000001,1.0,True,1.0,0.72
RZE__to__KAT_cand_472,-0.12,6,11.3,7.950000000000001,0.3,3.500000000000001,1.0,True,1.0,0.72
RZE__to__KAT_cand_471,-0.12,6,11.3,7.950000000000001,0.3,3.5,1.0,True,1.0,0.72
RZE__to__KAT_cand_486,-0.12,6,11.3,9.000000000000002,0.3,-2.83,1.0,True,1.0,0.72
RZE__to__KAT_cand_540,-0.12,6,11.3,11.1,0.3,-2.83,1.0,True,1.0,0.72
