name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,POZ_efficiency,min_distance_to_false
RZE_cand_7284_cand_10132,0.6216000000000002,6,11.3,1.9000000000000004,0.3,6.7883999999999975,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_9910,0.6216000000000002,6,11.3,1.8200000000000005,0.3,6.7883999999999975,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_8244,0.6066000000000001,6,11.3,2.0600000000000005,0.3,6.626399999999998,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_15240,0.6516000000000002,6,11.3,2.0600000000000005,0.3,7.112399999999997,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_7578,0.6066000000000001,6,11.3,1.8200000000000005,0.3,6.626399999999998,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_138,0.5616000000000001,6,11.3,1.66,0.3,6.140399999999998,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_19349,0.6816000000000002,6,11.3,1.8600000000000003,0.3,7.436399999999997,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_27,0.5616000000000001,6,11.3,1.62,0.3,6.140399999999998,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_3913,0.5766000000000001,6,11.3,2.1800000000000006,0.3,6.302399999999998,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_17572,0.6666000000000002,6,11.3,2.0600000000000005,0.3,7.274399999999997,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_8133,0.6066000000000001,6,11.3,2.0200000000000005,0.3,6.626399999999998,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_11242,0.6216000000000002,6,11.3,2.3000000000000007,0.3,6.7883999999999975,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_22014,0.6966000000000002,6,11.3,1.9800000000000004,0.3,7.598399999999997,1.0,True,1.0,0.015000000000000013
