name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,POZ_efficiency
RZE_cand_1894_cand_61,0.7332000000000001,6,11.3,2.88,0.3,3.5731999999999995,0.4901293397,false,1.0000000000
RZE_cand_1894_cand_62,0.7332000000000001,6,11.3,2.88,0.3,3.8971999999999993,0.5109406752,false,1.0000000000
RZE_cand_1894_cand_63,0.7332000000000001,6,11.3,2.88,0.3,4.2212,0.5534185513,false,1.0000000000
RZE_cand_1894_cand_64,0.7332000000000001,6,11.3,2.88,0.3,4.5451999999999995,0.5958964274,false,1.0000000000
RZE_cand_1894_cand_65,0.7332000000000001,6,11.3,2.88,0.3,4.869199999999999,0.6383743035,false,1.0000000000
RZE_cand_1894_cand_66,0.7332000000000001,6,11.3,2.88,0.3,5.193199999999999,0.6808521796,false,1.0000000000
RZE_cand_1894_cand_67,0.7332000000000001,6,11.3,2.88,0.3,5.517199999999999,0.7233300557,false,1.0000000000
RZE_cand_1894_cand_68,0.7332000000000001,6,11.3,2.88,0.3,5.841199999999999,0.7658079318,false,1.0000000000
RZE_cand_1894_cand_69,0.7332000000000001,6,11.3,2.88,0.3,6.165199999999999,0.8082858079,false,1.0000000000
RZE_cand_1894_cand_70,0.7332000000000001,6,11.3,2.88,0.3,6.4891999999999985,0.8507636840,false,1.0000000000
RZE_cand_1894_cand_71,0.7332000000000001,6,11.3,2.88,0.3,6.813199999999998,0.8932415601,false,1.0000000000
RZE_cand_1894_cand_72,0.7332000000000001,6,11.3,2.88,0.3,7.137199999999998,0.9357194363,false,1.0000000000
RZE_cand_1894_cand_73,0.7332000000000001,6,11.3,2.88,0.3,7.461199999999998,0.9781973124,false,1.0000000000
RZE_cand_1894_cand_74,0.7332000000000001,6,11.3,2.88,0.3,7.785199999999998,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_75,0.7332000000000001,6,11.3,2.88,0.3,8.109199999999998,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_76,0.7332000000000001,6,11.3,2.88,0.3,8.433199999999998,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_77,0.7332000000000001,6,11.3,2.88,0.3,8.757199999999997,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_78,0.7332000000000001,6,11.3,2.88,0.3,9.081199999999997,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_79,0.7332000000000001,6,11.3,2.88,0.3,9.405199999999997,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_80,0.7332000000000001,6,11.3,2.88,0.3,9.729199999999997,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_81,0.7332000000000001,6,11.3,2.88,0.3,10.053199999999997,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_82,0.7332000000000001,6,11.3,2.88,0.3,10.377199999999997,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_83,0.7332000000000001,6,11.3,2.88,0.3,10.701199999999996,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_84,0.7332000000000001,6,11.3,2.88,0.3,11.025199999999996,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_85,0.7332000000000001,6,11.3,2.88,0.3,11.349199999999996,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_86,0.7332000000000001,6,11.3,2.88,0.3,11.673199999999996,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_87,0.7332000000000001,6,11.3,2.88,0.3,11.997199999999996,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_88,0.7332000000000001,6,11.3,2.88,0.3,12.321199999999996,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_89,0.7332000000000001,6,11.3,2.88,0.3,12.645199999999996,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_90,0.7332000000000001,6,11.3,2.88,0.3,12.969199999999995,1.0000000000,true,1.0000000000
