candidate_name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,SZZ_efficiency,LCJ_efficiency,KAT_efficiency
RZE_resampled_135,0.2811192556,6.0000000000,11.3000000000,2.3187219180,0.3000000000,2.5432584520,1.0000000000,true,1.0000000000,0.8658679346,1.0000000000
RZE_resampled_136,0.3200000000,6.0000000000,11.3000000000,2.3200000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,0.9317437443,1.0000000000
RZE_resampled_137,0.3500000000,6.0000000000,11.3000000000,2.3500000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,0.9884726225,1.0000000000
RZE_resampled_138,0.3800000000,6.0000000000,11.3000000000,2.3800000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,1.0000000000,1.0000000000
RZE_resampled_139,0.3304990825,6.0000000000,11.3000000000,2.3186863225,0.3000000000,2.4766083265,1.0000000000,true,1.0000000000,0.9570064448,1.0000000000
RZE_resampled_140,0.3200000000,6.0000000000,11.3000000000,2.4000000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,0.9416488894,1.0000000000
RZE_resampled_141,0.3500000000,6.0000000000,11.3000000000,2.4000000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,0.9937062937,1.0000000000
RZE_resampled_142,0.3800000000,6.0000000000,11.3000000000,2.4000000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,1.0000000000,1.0000000000
RZE_resampled_143,0.3093331121,6.0000000000,11.3000000000,2.4779628991,0.3000000000,2.4776421086,1.0000000000,true,1.0000000000,0.9413121003,1.0000000000
RZE_resampled_144,0.3000000000,6.0000000000,11.3000000000,2.4200000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,0.9149901151,1.0000000000
RZE_resampled_145,0.3000000000,6.0000000000,11.3000000000,2.4500000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,0.9186246418,1.0000000000
RZE_resampled_146,0.3000000000,6.0000000000,11.3000000000,2.4800000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,0.9221556886,1.0000000000
RZE_resampled_147,0.2692841024,6.0000000000,11.3000000000,2.3721122277,0.3000000000,2.5782546672,1.0000000000,true,1.0000000000,0.8515512479,1.0000000000
