candidate_name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,SZZ_efficiency,LCJ_efficiency,KAT_efficiency
RZE_cand_16,0.0000000000,6.0000000000,11.3000000000,0.7000000000,0.3000000000,5.5000000000,1.0000000000,true,0.5113350126,0.4243085881,1.0000000000
RZE_cand_17,0.0000000000,6.0000000000,11.3000000000,0.7000000000,0.3000000000,5.7000000000,1.0000000000,true,0.5113350126,0.4183673469,1.0000000000
RZE_cand_18,0.0000000000,6.0000000000,11.3000000000,0.7000000000,0.3000000000,5.9000000000,1.0000000000,true,0.5113350126,0.4131545338,1.0000000000
RZE_cand_19,0.0000000000,6.0000000000,11.3000000000,0.7000000000,0.3000000000,6.1000000000,1.0000000000,true,0.5113350126,0.4090909091,1.0000000000
RZE_cand_20,0.0000000000,6.0000000000,11.3000000000,0.7000000000,0.3000000000,6.3000000000,1.0000000000,true,0.5113350126,0.4090909091,1.0000000000
RZE_cand_21,0.0000000000,6.0000000000,11.3000000000,0.7000000000,0.3000000000,6.5000000000,1.0000000000,true,0.5113350126,0.4090909091,1.0000000000
RZE_cand_22,0.0000000000,6.0000000000,11.3000000000,0.7000000000,0.3000000000,6.7000000000,1.0000000000,true,0.5113350126,0.4090909091,1.0000000000
RZE_cand_23,0.0000000000,6.0000000000,11.3000000000,0.7000000000,0.3000000000,6.9000000000,1.0000000000,true,0.5113350126,0.4090909091,1.0000000000
RZE_cand_24,0.0000000000,6.0000000000,11.3000000000,0.7000000000,0.3000000000,7.1000000000,1.0000000000,true,0.5113350126,0.4090909091,1.0000000000
RZE_cand_25,0.0000000000,6.0000000000,11.3000000000,0.7000000000,0.3000000000,7.3000000000,1.0000000000,true,0.5113350126,0.4090909091,1.0000000000
RZE_cand_26,0.0000000000,6.0000000000,11.3000000000,0.7000000000,0.3000000000,7.5000000000,1.0000000000,true,0.5113350126,0.4090909091,1.0000000000
RZE_cand_27,0.0000000000,6.0000000000,11.3000000000,0.7000000000,0.3000000000,7.7000000000,1.0000000000,true,0.5113350126,0.4090909091,1.0000000000
RZE_cand_28,0.0000000000,6.0000000000,11.3000000000,0.7000000000,0.3000000000,7.9000000000,1.0000000000,true,0.5113350126,0.4090909091,1.0000000000
RZE_cand_29,0.0000000000,6.0000000000,11.3000000000,0.7000000000,0.3000000000,8.1000000000,1.0000000000,true,0.5113350126,0.4090909091,1.0000000000
RZE_cand_30,0.0000000000,6.0000000000,11.3000000000,0.7000000000,0.3000000000,8.3000000000,1.0000000000,true,0.5113350126,0.4090909091,1.0000000000
RZE_cand_31,0.0000000000,6.0000000000,11.3000000000,0.7000000000,0.3000000000,8.5000000000,1.0000000000,true,0.5113350126,0.4090909091,1.0000000000
RZE_cand_32,0.0000000000,6.0000000000,11.3000000000,0.8000000000,0.3000000000,2.5000000000,1.0000000000,true,0.8619402985,0.6672550750,1.0000000000
RZE_cand_33,0.0000000000,6.0000000000,11.3000000000,0.8000000000,0.3000000000,2.7000000000,1.0000000000,true,0.8220640569,0.6445012788,1.0000000000
RZE_cand_34,0.0000000000,6.0000000000,11.3000000000,0.8000000000,0.3000000000,2.9000000000,1.0000000000,true,0.7857142857,0.6232481451,1.0000000000
RZE_cand_35,0.0000000000,6.0000000000,11.3000000000,0.8000000000,0.3000000000,3.1000000000,1.0000000000,true,0.7524429967,0.6033519553,1.0000000000
RZE_cand_36,0.0000000000,6.0000000000,11.3000000000,0.8000000000,0.3000000000,3.3000000000,1.0000000000,true,0.7218750000,0.5846867749,1.0000000000
RZE_cand_37,0.0000000000,6.0000000000,11.3000000000,0.8000000000,0.3000000000,3.5000000000,1.0000000000,true,0.6936936937,0.5671417854,1.0000000000
RZE_cand_38,0.0000000000,6.0000000000,11.3000000000,0.8000000000,0.3000000000,3.7000000000,1.0000000000,true,0.6676300578,0.5506190823,1.0000000000
RZE_cand_39,0.0000000000,6.0000000000,11.3000000000,0.8000000000,0.3000000000,3.9000000000,1.0000000000,true,0.6434540390,0.5350318471,1.0000000000
RZE_cand_40,0.0000000000,6.0000000000,11.3000000000,0.8000000000,0.3000000000,4.1000000000,1.0000000000,true,0.6146341463,0.5121951220,1.0000000000
RZE_cand_41,0.0000000000,6.0000000000,11.3000000000,0.8000000000,0.3000000000,4.3000000000,1.0000000000,true,0.5879699248,0.4899749373,1.0000000000
RZE_cand_42,0.0000000000,6.0000000000,11.3000000000,0.8000000000,0.3000000000,4.5000000000,1.0000000000,true,0.5677852349,0.4731543624,1.0000000000
RZE_cand_43,0.0000000000,6.0000000000,11.3000000000,0.8000000000,0.3000000000,4.7000000000,1.0000000000,true,0.5515151515,0.4595959596,1.0000000000
RZE_cand_44,0.0000000000,6.0000000000,11.3000000000,0.8000000000,0.3000000000,4.9000000000,1.0000000000,true,0.5381215470,0.4484346225,1.0000000000
RZE_cand_45,0.0000000000,6.0000000000,11.3000000000,0.8000000000,0.3000000000,5.1000000000,1.0000000000,true,0.5269035533,0.4390862944,1.0000000000
RZE_cand_46,0.0000000000,6.0000000000,11.3000000000,0.8000000000,0.3000000000,5.3000000000,1.0000000000,true,0.5238095238,0.4311424100,1.0000000000
RZE_cand_47,0.0000000000,6.0000000000,11.3000000000,0.8000000000,0.3000000000,5.5000000000,1.0000000000,true,0.5238095238,0.4243085881,1.0000000000
RZE_cand_48,0.0000000000,6.0000000000,11.3000000000,0.8000000000,0.3000000000,5.7000000000,1.0000000000,true,0.5238095238,0.4183673469,1.0000000000
RZE_cand_49,0.0000000000,6.0000000000,11.3000000000,0.8000000000,0.3000000000,5.9000000000,1.0000000000,true,0.5238095238,0.4131545338,1.0000000000
RZE_cand_50,0.0000000000,6.0000000000,11.3000000000,0.8000000000,0.3000000000,6.1000000000,1.0000000000,true,0.5238095238,0.4090909091,1.0000000000
RZE_cand_51,0.0000000000,6.0000000000,11.3000000000,0.8000000000,0.3000000000,6.3000000000,1.0000000000,true,0.5238095238,0.4090909091,1.0000000000
RZE_cand_52,0.0000000000,6.0000000000,11.3000000000,0.8000000000,0.3000000000,6.5000000000,1.0000000000,true,0.5238095238,0.4090909091,1.0000000000
RZE_cand_53,0.0000000000,6.0000000000,11.3000000000,0.8000000000,0.3000000000,6.7000000000,1.0000000000,true,0.5238095238,0.4090909091,1.0000000000
