candidate_name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,SZZ_efficiency,LCJ_efficiency,KAT_efficiency,boundary_flag
RZE_resampled_698,0.48,6.0,11.3,1.78,0.3,2.7,0.95,False,1.0,1.0,1.0,True
RZE_resampled_705,0.45,6.0,11.3,1.7,0.3,2.9,1.0,True,1.0,1.0,1.0,True
RZE_resampled_706,0.48,6.0,11.3,1.7,0.3,2.9,0.9956814159,False,1.0,1.0,1.0,True
RZE_resampled_714,0.48,6.0,11.3,1.62,0.3,2.9,1.0,True,1.0,1.0,1.0,True
RZE_resampled_715,0.4515044101,6.0,11.3,1.6864189364,0.3,2.920462611,1.0,True,1.0,1.0,1.0,True
RZE_resampled_716,0.42,6.0,11.3,1.72,0.3,2.9,1.0,True,1.0,1.0,1.0,True
RZE_resampled_717,0.45,6.0,11.3,1.75,0.3,2.9,1.0,True,1.0,1.0,1.0,True
RZE_resampled_718,0.48,6.0,11.3,1.78,0.3,2.9,0.99,False,1.0,1.0,1.0,True
RZE_resampled_719,0.5003734564,6.0,11.3,1.549685754,0.3,2.9907405156,1.0,True,1.0,1.0,1.0,True
RZE_resampled_723,0.4844944032,6.0,11.3,1.705852439,0.3,3.0490041023,1.0,True,1.0,1.0,1.0,True
RZE_resampled_726,0.48,6.0,11.3,1.7,0.3,3.1,1.0,True,1.0,1.0,1.0,True
RZE_resampled_734,0.48,6.0,11.3,1.62,0.3,3.1,1.0,True,1.0,1.0,1.0,True
RZE_resampled_738,0.48,6.0,11.3,1.78,0.3,3.1,1.0,True,1.0,1.0,1.0,True
RZE_resampled_764,0.42,6.0,11.3,1.8,0.3,2.5,1.0,True,1.0,1.0,1.0,True
RZE_resampled_765,0.45,6.0,11.3,1.8,0.3,2.5,1.0,True,1.0,1.0,1.0,True
RZE_resampled_766,0.48,6.0,11.3,1.8,0.3,2.5,0.9375,False,1.0,1.0,1.0,True
RZE_resampled_773,0.45,6.0,11.3,1.85,0.3,2.5,1.0,True,1.0,1.0,1.0,True
RZE_resampled_774,0.48,6.0,11.3,1.88,0.3,2.5,0.9375,False,1.0,1.0,1.0,True
