name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,LCJ_efficiency
RZE__to__LCJ_cand_65,0.3,6,11.3,3.480000000000001,0.3,4.2,1.0000000000,true,0.8923076923
RZE__to__LCJ_cand_66,0.3,6,11.3,3.480000000000001,0.3,4.34,1.0000000000,true,0.8923076923
RZE__to__LCJ_cand_67,0.3,6,11.3,3.480000000000001,0.3,4.76,1.0000000000,true,0.8923076923
RZE__to__LCJ_cand_68,0.3,6,11.3,3.480000000000001,0.3,5.18,1.0000000000,true,0.8923076923
RZE__to__LCJ_cand_69,0.3,6,11.3,3.480000000000001,0.3,5.6,1.0000000000,true,0.8923076923
RZE__to__LCJ_cand_70,0.3,6,11.3,3.870000000000001,0.3,2.24,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_71,0.3,6,11.3,3.870000000000001,0.3,2.66,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_72,0.3,6,11.3,3.870000000000001,0.3,3.08,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_73,0.3,6,11.3,3.870000000000001,0.3,3.5,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_74,0.3,6,11.3,3.870000000000001,0.3,3.92,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_75,0.3,6,11.3,3.870000000000001,0.3,4.2,1.0000000000,true,0.9923076923
RZE__to__LCJ_cand_76,0.3,6,11.3,3.870000000000001,0.3,4.34,1.0000000000,true,0.9923076923
RZE__to__LCJ_cand_77,0.3,6,11.3,3.870000000000001,0.3,4.76,1.0000000000,true,0.9923076923
RZE__to__LCJ_cand_78,0.3,6,11.3,3.870000000000001,0.3,5.18,1.0000000000,true,0.9923076923
RZE__to__LCJ_cand_79,0.3,6,11.3,3.870000000000001,0.3,5.6,1.0000000000,true,0.9923076923
RZE__to__LCJ_cand_80,0.3,6,11.3,3.9,0.3,2.24,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_81,0.3,6,11.3,3.9,0.3,2.66,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_82,0.3,6,11.3,3.9,0.3,3.08,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_83,0.3,6,11.3,3.9,0.3,3.5,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_84,0.3,6,11.3,3.9,0.3,3.92,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_85,0.3,6,11.3,3.9,0.3,4.2,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_86,0.3,6,11.3,3.9,0.3,4.34,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_87,0.3,6,11.3,3.9,0.3,4.76,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_88,0.3,6,11.3,3.9,0.3,5.18,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_89,0.3,6,11.3,3.9,0.3,5.6,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_90,0.3,6,11.3,4.260000000000002,0.3,2.24,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_91,0.3,6,11.3,4.260000000000002,0.3,2.66,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_92,0.3,6,11.3,4.260000000000002,0.3,3.08,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_93,0.3,6,11.3,4.260000000000002,0.3,3.5,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_94,0.3,6,11.3,4.260000000000002,0.3,3.92,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_95,0.3,6,11.3,4.260000000000002,0.3,4.2,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_96,0.3,6,11.3,4.260000000000002,0.3,4.34,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_97,0.3,6,11.3,4.260000000000002,0.3,4.76,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_98,0.3,6,11.3,4.260000000000002,0.3,5.18,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_99,0.3,6,11.3,4.260000000000002,0.3,5.6,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_100,0.3,6,11.3,4.650000000000001,0.3,2.24,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_101,0.3,6,11.3,4.650000000000001,0.3,2.66,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_102,0.3,6,11.3,4.650000000000001,0.3,3.08,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_103,0.3,6,11.3,4.650000000000001,0.3,3.5,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_104,0.3,6,11.3,4.650000000000001,0.3,3.92,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_105,0.3,6,11.3,4.650000000000001,0.3,4.2,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_106,0.3,6,11.3,4.650000000000001,0.3,4.34,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_107,0.3,6,11.3,4.650000000000001,0.3,4.76,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_108,0.3,6,11.3,4.650000000000001,0.3,5.18,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_109,0.3,6,11.3,4.650000000000001,0.3,5.6,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_110,0.3,6,11.3,5.040000000000001,0.3,2.24,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_111,0.3,6,11.3,5.040000000000001,0.3,2.66,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_112,0.3,6,11.3,5.040000000000001,0.3,3.08,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_113,0.3,6,11.3,5.040000000000001,0.3,3.5,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_114,0.3,6,11.3,5.040000000000001,0.3,3.92,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_115,0.3,6,11.3,5.040000000000001,0.3,4.2,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_116,0.3,6,11.3,5.040000000000001,0.3,4.34,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_117,0.3,6,11.3,5.040000000000001,0.3,4.76,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_118,0.3,6,11.3,5.040000000000001,0.3,5.18,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_119,0.3,6,11.3,5.040000000000001,0.3,5.6,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_120,0.3,6,11.3,5.4300000000000015,0.3,2.24,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_121,0.3,6,11.3,5.4300000000000015,0.3,2.66,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_122,0.3,6,11.3,5.4300000000000015,0.3,3.08,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_123,0.3,6,11.3,5.4300000000000015,0.3,3.5,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_124,0.3,6,11.3,5.4300000000000015,0.3,3.92,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_125,0.3,6,11.3,5.4300000000000015,0.3,4.2,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_126,0.3,6,11.3,5.4300000000000015,0.3,4.34,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_127,0.3,6,11.3,5.4300000000000015,0.3,4.76,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_128,0.3,6,11.3,5.4300000000000015,0.3,5.18,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_129,0.3,6,11.3,5.4300000000000015,0.3,5.6,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_130,0.4,6,11.3,1.5300000000000002,0.3,2.24,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_131,0.4,6,11.3,1.5300000000000002,0.3,2.66,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_132,0.4,6,11.3,1.5300000000000002,0.3,3.08,1.0000000000,true,0.9090909091
RZE__to__LCJ_cand_133,0.4,6,11.3,1.5300000000000002,0.3,3.5,1.0000000000,true,0.8000000000
RZE__to__LCJ_cand_134,0.4,6,11.3,1.5300000000000002,0.3,3.92,1.0000000000,true,0.7142857143
RZE__to__LCJ_cand_135,0.4,6,11.3,1.5300000000000002,0.3,4.2,1.0000000000,true,0.6666666667
RZE__to__LCJ_cand_136,0.4,6,11.3,1.5300000000000002,0.3,4.34,1.0000000000,true,0.6666666667
RZE__to__LCJ_cand_137,0.4,6,11.3,1.5300000000000002,0.3,4.76,1.0000000000,true,0.6666666667
RZE__to__LCJ_cand_138,0.4,6,11.3,1.5300000000000002,0.3,5.18,1.0000000000,true,0.6666666667
RZE__to__LCJ_cand_139,0.4,6,11.3,1.5300000000000002,0.3,5.6,1.0000000000,true,0.6666666667
RZE__to__LCJ_cand_140,0.4,6,11.3,1.9200000000000004,0.3,2.24,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_141,0.4,6,11.3,1.9200000000000004,0.3,2.66,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_142,0.4,6,11.3,1.9200000000000004,0.3,3.08,1.0000000000,true,0.9090909091
RZE__to__LCJ_cand_143,0.4,6,11.3,1.9200000000000004,0.3,3.5,1.0000000000,true,0.8000000000
RZE__to__LCJ_cand_144,0.4,6,11.3,1.9200000000000004,0.3,3.92,1.0000000000,true,0.7142857143
RZE__to__LCJ_cand_145,0.4,6,11.3,1.9200000000000004,0.3,4.2,1.0000000000,true,0.6666666667
RZE__to__LCJ_cand_146,0.4,6,11.3,1.9200000000000004,0.3,4.34,1.0000000000,true,0.6666666667
RZE__to__LCJ_cand_147,0.4,6,11.3,1.9200000000000004,0.3,4.76,1.0000000000,true,0.6666666667
RZE__to__LCJ_cand_148,0.4,6,11.3,1.9200000000000004,0.3,5.18,1.0000000000,true,0.6666666667
RZE__to__LCJ_cand_149,0.4,6,11.3,1.9200000000000004,0.3,5.6,1.0000000000,true,0.6666666667
RZE__to__LCJ_cand_150,0.4,6,11.3,2.3100000000000005,0.3,2.24,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_151,0.4,6,11.3,2.3100000000000005,0.3,2.66,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_152,0.4,6,11.3,2.3100000000000005,0.3,3.08,1.0000000000,true,0.9090909091
RZE__to__LCJ_cand_153,0.4,6,11.3,2.3100000000000005,0.3,3.5,1.0000000000,true,0.8000000000
RZE__to__LCJ_cand_154,0.4,6,11.3,2.3100000000000005,0.3,3.92,1.0000000000,true,0.7142857143
RZE__to__LCJ_cand_155,0.4,6,11.3,2.3100000000000005,0.3,4.2,1.0000000000,true,0.6666666667
RZE__to__LCJ_cand_156,0.4,6,11.3,2.3100000000000005,0.3,4.34,1.0000000000,true,0.6666666667
RZE__to__LCJ_cand_157,0.4,6,11.3,2.3100000000000005,0.3,4.76,1.0000000000,true,0.6666666667
RZE__to__LCJ_cand_158,0.4,6,11.3,2.3100000000000005,0.3,5.18,1.0000000000,true,0.6666666667
RZE__to__LCJ_cand_159,0.4,6,11.3,2.3100000000000005,0.3,5.6,1.0000000000,true,0.6666666667
RZE__to__LCJ_cand_160,0.4,6,11.3,2.7,0.3,2.24,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_161,0.4,6,11.3,2.7,0.3,2.66,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_162,0.4,6,11.3,2.7,0.3,3.08,1.0000000000,true,0.9440559441
RZE__to__LCJ_cand_163,0.4,6,11.3,2.7,0.3,3.5,1.0000000000,true,0.8307692308
RZE__to__LCJ_cand_164,0.4,6,11.3,2.7,0.3,3.92,1.0000000000,true,0.7417582418
RZE__to__LCJ_cand_165,0.4,6,11.3,2.7,0.3,4.2,1.0000000000,true,0.6923076923
RZE__to__LCJ_cand_166,0.4,6,11.3,2.7,0.3,4.34,1.0000000000,true,0.6923076923
RZE__to__LCJ_cand_167,0.4,6,11.3,2.7,0.3,4.76,1.0000000000,true,0.6923076923
RZE__to__LCJ_cand_168,0.4,6,11.3,2.7,0.3,5.18,1.0000000000,true,0.6923076923
RZE__to__LCJ_cand_169,0.4,6,11.3,2.7,0.3,5.6,1.0000000000,true,0.6923076923
RZE__to__LCJ_cand_170,0.4,6,11.3,2.7000000000000006,0.3,2.24,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_171,0.4,6,11.3,2.7000000000000006,0.3,2.66,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_172,0.4,6,11.3,2.7000000000000006,0.3,3.08,1.0000000000,true,0.9440559441
RZE__to__LCJ_cand_173,0.4,6,11.3,2.7000000000000006,0.3,3.5,1.0000000000,true,0.8307692308
RZE__to__LCJ_cand_174,0.4,6,11.3,2.7000000000000006,0.3,3.92,1.0000000000,true,0.7417582418
RZE__to__LCJ_cand_175,0.4,6,11.3,2.7000000000000006,0.3,4.2,1.0000000000,true,0.6923076923
RZE__to__LCJ_cand_176,0.4,6,11.3,2.7000000000000006,0.3,4.34,1.0000000000,true,0.6923076923
RZE__to__LCJ_cand_177,0.4,6,11.3,2.7000000000000006,0.3,4.76,1.0000000000,true,0.6923076923
RZE__to__LCJ_cand_178,0.4,6,11.3,2.7000000000000006,0.3,5.18,1.0000000000,true,0.6923076923
RZE__to__LCJ_cand_179,0.4,6,11.3,2.7000000000000006,0.3,5.6,1.0000000000,true,0.6923076923
RZE__to__LCJ_cand_180,0.4,6,11.3,3.0900000000000007,0.3,2.24,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_181,0.4,6,11.3,3.0900000000000007,0.3,2.66,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_182,0.4,6,11.3,3.0900000000000007,0.3,3.08,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_183,0.4,6,11.3,3.0900000000000007,0.3,3.5,1.0000000000,true,0.9507692308
RZE__to__LCJ_cand_184,0.4,6,11.3,3.0900000000000007,0.3,3.92,1.0000000000,true,0.8489010989
RZE__to__LCJ_cand_185,0.4,6,11.3,3.0900000000000007,0.3,4.2,1.0000000000,true,0.7923076923
RZE__to__LCJ_cand_186,0.4,6,11.3,3.0900000000000007,0.3,4.34,1.0000000000,true,0.7923076923
RZE__to__LCJ_cand_187,0.4,6,11.3,3.0900000000000007,0.3,4.76,1.0000000000,true,0.7923076923
RZE__to__LCJ_cand_188,0.4,6,11.3,3.0900000000000007,0.3,5.18,1.0000000000,true,0.7923076923
RZE__to__LCJ_cand_189,0.4,6,11.3,3.0900000000000007,0.3,5.6,1.0000000000,true,0.7923076923
RZE__to__LCJ_cand_190,0.4,6,11.3,3.480000000000001,0.3,2.24,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_191,0.4,6,11.3,3.480000000000001,0.3,2.66,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_192,0.4,6,11.3,3.480000000000001,0.3,3.08,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_193,0.4,6,11.3,3.480000000000001,0.3,3.5,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_194,0.4,6,11.3,3.480000000000001,0.3,3.92,1.0000000000,true,0.9560439560
