name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,WRO_efficiency,min_distance_to_false
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_2329,3.406800000000001,6,11.3,1.015,0.3,9.110000000000005,1.0,True,1.0,0.5999999999999999
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_2119,3.1344000000000007,6,11.3,1.015,0.3,9.110000000000005,1.0,True,1.0,0.5999999999999999
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_1279,2.3172,6,11.3,1.015,0.3,9.110000000000005,1.0,True,1.0,0.5999999999999999
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_1909,2.8620000000000005,6,11.3,1.015,0.3,9.110000000000005,1.0,True,1.0,0.5999999999999999
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_1489,2.5896000000000003,6,11.3,1.015,0.3,9.110000000000005,1.0,True,1.0,0.5999999999999999
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_859,1.7724000000000002,6,11.3,1.015,0.3,9.110000000000005,1.0,True,1.0,0.5999999999999999
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_1069,2.0448000000000004,6,11.3,1.015,0.3,9.110000000000005,1.0,True,1.0,0.5999999999999999
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_649,1.5,6,11.3,1.015,0.3,9.110000000000005,1.0,True,1.0,0.5999999999999999
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_633,1.5,6,11.3,0.7149999999999999,0.3,7.230000000000002,1.0,True,1.0,0.6000000000000001
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_423,1.2275999999999998,6,11.3,0.7149999999999999,0.3,7.230000000000002,1.0,True,1.0,0.6000000000000001
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_1893,2.8620000000000005,6,11.3,0.7149999999999999,0.3,7.230000000000002,1.0,True,1.0,0.6000000000000001
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_213,0.9551999999999998,6,11.3,0.7149999999999999,0.3,7.230000000000002,1.0,True,1.0,0.6000000000000001
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_3,0.6827999999999997,6,11.3,0.7149999999999999,0.3,7.230000000000002,1.0,True,1.0,0.6000000000000001
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_2103,3.1344000000000007,6,11.3,0.7149999999999999,0.3,7.230000000000002,1.0,True,1.0,0.6000000000000001
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_1263,2.3172,6,11.3,0.7149999999999999,0.3,7.230000000000002,1.0,True,1.0,0.6000000000000001
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_843,1.7724000000000002,6,11.3,0.7149999999999999,0.3,7.230000000000002,1.0,True,1.0,0.6000000000000001
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_1473,2.5896000000000003,6,11.3,0.7149999999999999,0.3,7.230000000000002,1.0,True,1.0,0.6000000000000001
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_1053,2.0448000000000004,6,11.3,0.7149999999999999,0.3,7.230000000000002,1.0,True,1.0,0.6000000000000001
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_2313,3.406800000000001,6,11.3,0.7149999999999999,0.3,7.230000000000002,1.0,True,1.0,0.6000000000000001
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_2523,3.6792000000000007,6,11.3,0.7149999999999999,0.3,7.230000000000002,1.0,True,1.0,0.6000000000000001
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_1850,2.724000000000001,6,11.3,3.415,0.3,10.990000000000002,1.0,True,1.0,1.8799999999999972
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_2285,3.1344000000000007,6,11.3,3.715,0.3,10.990000000000002,1.0,True,1.0,1.8799999999999972
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_2255,3.1344000000000007,6,11.3,3.115,0.3,10.990000000000002,1.0,True,1.0,1.8799999999999972
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_2660,3.6792000000000007,6,11.3,3.0,0.3,10.990000000000002,1.0,True,1.0,1.8799999999999972
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_2060,2.8620000000000005,6,11.3,3.415,0.3,10.990000000000002,1.0,True,1.0,1.8799999999999972
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_1670,2.5896000000000003,6,11.3,4.015000000000001,0.3,10.990000000000002,1.0,True,1.0,1.8799999999999972
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_2300,3.1344000000000007,6,11.3,4.015000000000001,0.3,10.990000000000002,1.0,True,1.0,1.8799999999999972
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_2075,2.8620000000000005,6,11.3,3.715,0.3,10.990000000000002,1.0,True,1.0,1.8799999999999972
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_2675,3.6792000000000007,6,11.3,3.115,0.3,10.990000000000002,1.0,True,1.0,1.8799999999999972
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_2690,3.6792000000000007,6,11.3,3.415,0.3,10.990000000000002,1.0,True,1.0,1.8799999999999972
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_2510,3.406800000000001,6,11.3,4.015000000000001,0.3,10.990000000000002,1.0,True,1.0,1.8799999999999972
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_1640,2.5896000000000003,6,11.3,3.415,0.3,10.990000000000002,1.0,True,1.0,1.8799999999999972
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_2270,3.1344000000000007,6,11.3,3.415,0.3,10.990000000000002,1.0,True,1.0,1.8799999999999972
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_1460,2.3172,6,11.3,4.015000000000001,0.3,10.990000000000002,1.0,True,1.0,1.8799999999999972
