name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,RZE_efficiency,IEG_efficiency
RZE_cand_111_cand_47,0.13,6,11.3,2.1979999999999995,0.3,4.047750000000001,1.0000000000,true,1.0000000000,0.1959113088
RZE_cand_111_cand_48,0.18,6,11.3,1.7479999999999998,0.3,3.084,1.0000000000,true,1.0000000000,0.3560311284
RZE_cand_111_cand_49,0.18,6,11.3,1.7479999999999998,0.3,3.2767500000000003,1.0000000000,true,1.0000000000,0.3350881209
RZE_cand_111_cand_50,0.18,6,11.3,1.7479999999999998,0.3,3.4695000000000005,1.0000000000,true,1.0000000000,0.3164721141
RZE_cand_111_cand_51,0.18,6,11.3,1.7479999999999998,0.3,3.6622500000000007,1.0000000000,true,1.0000000000,0.2998156871
RZE_cand_111_cand_52,0.18,6,11.3,1.7479999999999998,0.3,3.855000000000001,1.0000000000,true,1.0000000000,0.2848249027
RZE_cand_111_cand_53,0.18,6,11.3,1.7479999999999998,0.3,4.047750000000001,1.0000000000,true,1.0000000000,0.2712618121
RZE_cand_111_cand_54,0.18,6,11.3,1.8979999999999997,0.3,3.084,1.0000000000,true,1.0000000000,0.3560311284
RZE_cand_111_cand_55,0.18,6,11.3,1.8979999999999997,0.3,3.2767500000000003,1.0000000000,true,1.0000000000,0.3350881209
RZE_cand_111_cand_56,0.18,6,11.3,1.8979999999999997,0.3,3.4695000000000005,1.0000000000,true,1.0000000000,0.3164721141
RZE_cand_111_cand_57,0.18,6,11.3,1.8979999999999997,0.3,3.6622500000000007,1.0000000000,true,1.0000000000,0.2998156871
RZE_cand_111_cand_58,0.18,6,11.3,1.8979999999999997,0.3,3.855000000000001,1.0000000000,true,1.0000000000,0.2848249027
RZE_cand_111_cand_59,0.18,6,11.3,1.8979999999999997,0.3,4.047750000000001,1.0000000000,true,1.0000000000,0.2712618121
RZE_cand_111_cand_60,0.18,6,11.3,2.0479999999999996,0.3,3.084,1.0000000000,true,1.0000000000,0.3560311284
RZE_cand_111_cand_61,0.18,6,11.3,2.0479999999999996,0.3,3.2767500000000003,1.0000000000,true,1.0000000000,0.3350881209
RZE_cand_111_cand_62,0.18,6,11.3,2.0479999999999996,0.3,3.4695000000000005,1.0000000000,true,1.0000000000,0.3164721141
RZE_cand_111_cand_63,0.18,6,11.3,2.0479999999999996,0.3,3.6622500000000007,1.0000000000,true,1.0000000000,0.2998156871
RZE_cand_111_cand_64,0.18,6,11.3,2.0479999999999996,0.3,3.855000000000001,1.0000000000,true,1.0000000000,0.2848249027
RZE_cand_111_cand_65,0.18,6,11.3,2.0479999999999996,0.3,4.047750000000001,1.0000000000,true,1.0000000000,0.2712618121
RZE_cand_111_cand_66,0.18,6,11.3,2.1979999999999995,0.3,3.084,1.0000000000,true,1.0000000000,0.3560311284
RZE_cand_111_cand_67,0.18,6,11.3,2.1979999999999995,0.3,3.2767500000000003,1.0000000000,true,1.0000000000,0.3350881209
RZE_cand_111_cand_68,0.18,6,11.3,2.1979999999999995,0.3,3.4695000000000005,1.0000000000,true,1.0000000000,0.3164721141
RZE_cand_111_cand_69,0.18,6,11.3,2.1979999999999995,0.3,3.6622500000000007,1.0000000000,true,1.0000000000,0.2998156871
RZE_cand_111_cand_70,0.18,6,11.3,2.1979999999999995,0.3,3.855000000000001,1.0000000000,true,1.0000000000,0.2848249027
RZE_cand_111_cand_71,0.18,6,11.3,2.1979999999999995,0.3,4.047750000000001,1.0000000000,true,1.0000000000,0.2712618121
RZE_cand_111_cand_72,0.22999999999999998,6,11.3,1.7479999999999998,0.3,3.084,1.0000000000,true,1.0000000000,0.4549286641
RZE_cand_111_cand_73,0.22999999999999998,6,11.3,1.7479999999999998,0.3,3.2767500000000003,1.0000000000,true,1.0000000000,0.4281681544
RZE_cand_111_cand_74,0.22999999999999998,6,11.3,1.7479999999999998,0.3,3.4695000000000005,1.0000000000,true,1.0000000000,0.4043810347
RZE_cand_111_cand_75,0.22999999999999998,6,11.3,1.7479999999999998,0.3,3.6622500000000007,1.0000000000,true,1.0000000000,0.3830978224
RZE_cand_111_cand_76,0.22999999999999998,6,11.3,1.7479999999999998,0.3,3.855000000000001,1.0000000000,true,1.0000000000,0.3639429313
RZE_cand_111_cand_77,0.22999999999999998,6,11.3,1.7479999999999998,0.3,4.047750000000001,1.0000000000,true,1.0000000000,0.3466123155
RZE_cand_111_cand_78,0.22999999999999998,6,11.3,1.8979999999999997,0.3,3.084,1.0000000000,true,1.0000000000,0.4549286641
RZE_cand_111_cand_79,0.22999999999999998,6,11.3,1.8979999999999997,0.3,3.2767500000000003,1.0000000000,true,1.0000000000,0.4281681544
RZE_cand_111_cand_80,0.22999999999999998,6,11.3,1.8979999999999997,0.3,3.4695000000000005,1.0000000000,true,1.0000000000,0.4043810347
RZE_cand_111_cand_81,0.22999999999999998,6,11.3,1.8979999999999997,0.3,3.6622500000000007,1.0000000000,true,1.0000000000,0.3830978224
RZE_cand_111_cand_82,0.22999999999999998,6,11.3,1.8979999999999997,0.3,3.855000000000001,1.0000000000,true,1.0000000000,0.3639429313
RZE_cand_111_cand_83,0.22999999999999998,6,11.3,1.8979999999999997,0.3,4.047750000000001,1.0000000000,true,1.0000000000,0.3466123155
RZE_cand_111_cand_84,0.22999999999999998,6,11.3,2.0479999999999996,0.3,3.084,1.0000000000,true,1.0000000000,0.4549286641
RZE_cand_111_cand_85,0.22999999999999998,6,11.3,2.0479999999999996,0.3,3.2767500000000003,1.0000000000,true,1.0000000000,0.4281681544
RZE_cand_111_cand_86,0.22999999999999998,6,11.3,2.0479999999999996,0.3,3.4695000000000005,1.0000000000,true,1.0000000000,0.4043810347
RZE_cand_111_cand_87,0.22999999999999998,6,11.3,2.0479999999999996,0.3,3.6622500000000007,1.0000000000,true,1.0000000000,0.3830978224
RZE_cand_111_cand_88,0.22999999999999998,6,11.3,2.0479999999999996,0.3,3.855000000000001,1.0000000000,true,1.0000000000,0.3639429313
